# Segments csv created Sun Mar  5 10:54:31 2017
# num_ytids=22160, num_segs=22160, num_unique_labels=527, num_positive_labels=52882
# YTID, start_seconds, end_seconds, positive_labels
--ekDLDTUXA, 30.000, 40.000, "/m/015lz1,/m/07pws3f"
-0SdAVK79lg, 30.000, 40.000, "/m/0155w,/m/01lyv,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y,/m/0gg8l"
-1iKLvsRBbE, 80.000, 90.000, "/m/015lz1,/m/07pws3f"
-4hZyOdm7EI, 200.000, 210.000, "/m/015lz1,/m/015vgc"
-5xOcMJpTUk, 70.000, 80.000, "/m/018vs,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y"
-693sNKI3iM, 30.000, 40.000, "/m/015lz1,/m/01swy6,/m/04rlf"
-ETHxO8vrAg, 30.000, 40.000, "/m/015lz1,/m/04rlf,/t/dd00004"
-FVBrg2qeIA, 90.000, 100.000, "/m/0342h,/m/04rlf,/m/04szw,/m/07rwj3x,/m/09x0r,/m/0fx80y"
-Tea8DpWZQM, 13.000, 23.000, "/m/015lz1,/m/01swy6,/m/09x0r"
-UNPp3fEWSE, 0.000, 10.000, "/m/01d380,/m/07k1x,/m/0_ksk"
-UuEBhule84, 350.000, 360.000, "/m/015lz1,/m/01lyv,/m/04rlf,/m/07s0s5r"
-VclCul6FrI, 80.000, 90.000, "/m/013y1f,/m/04rlf,/m/04szw,/m/05148p4,/m/05r5c,/m/0b9m1,/t/dd00125"
-WX7nQcZPVQ, 30.000, 40.000, "/m/04rlf,/m/04szw,/m/07brj"
-_6RxZyi30Q, 70.000, 80.000, "/m/015lz1,/m/04rlf,/m/0g293,/t/dd00126"
-a6J2OMtfZc, 30.000, 40.000, "/m/015lz1,/m/04rlf,/m/0ln16,/m/0xzly"
-vmWpxQloGE, 70.000, 80.000, "/m/015lz1,/m/04rlf,/m/07s8j8t"
-yERwTDWZuU, 90.000, 100.000, "/m/0342h,/m/04rlf,/m/04szw,/m/07m2kt"
-yXsEIH3Tbg, 110.000, 120.000, "/m/015lz1,/m/04rlf,/m/07q4ntr"
-yfGwGBVnlA, 30.000, 40.000, "/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
0-fd-lvizrY, 30.000, 40.000, "/m/015lz1,/m/01swy6,/m/04rlf"
00M9FhCet6s, 100.000, 110.000, "/m/015lz1,/m/04rlf,/m/06rqw"
09l9A1XVbpY, 10.000, 20.000, "/m/015lz1,/m/04rlf,/m/07sr1lc"
0GXfryMBkGw, 500.000, 510.000, "/m/015lz1,/m/02bk07,/m/04rlf,/m/07brj,/m/09x0r,/m/0l14jd,/m/0y4f8"
0K-zyeLuKho, 30.000, 40.000, "/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/09x0r,/m/0fx80y"
0Ly5mdtHGzE, 260.000, 270.000, "/m/01d380,/m/07k1x,/m/0_ksk"
0N0ehlFFkF0, 60.000, 70.000, "/m/015lz1,/m/016cjb,/m/04rlf,/m/0l14jd"
0ONdm4sW47c, 30.000, 40.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
0S5zWt91Bwo, 30.000, 40.000, "/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y,/m/0gg8l"
0_QcatLmg7c, 30.000, 40.000, "/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y,/t/dd00003"
0g43Ad6e-40, 30.000, 40.000, "/m/04rlf,/m/04szw,/m/0xzly"
0iDM2s8kDIA, 290.000, 300.000, "/m/015lz1,/m/016cjb,/m/04rlf"
0maiaspDy5k, 110.000, 120.000, "/m/0342h,/m/039jq,/m/04rlf,/m/04szw,/m/0d8_n"
0nYhDvktiJo, 50.000, 60.000, "/m/015lz1,/m/04rlf,/m/05rwpb"
0oIFGARD9xE, 410.000, 420.000, "/m/015lz1,/m/016cjb,/m/02mscn,/m/03qtwd,/m/04rlf,/m/0l14jd"
0olOcmJ0ceg, 130.000, 140.000, "/m/0342h,/m/04rlf,/m/04szw,/m/0b9m1,/m/0fx80y"
0qtbbK5HVMw, 330.000, 340.000, "/m/04rlf,/m/04szw,/m/07prgkl,/m/07y_7,/m/0l14_3"
11D0JdB7_4k, 120.000, 130.000, "/m/02bxd,/m/04rlf,/m/04szw"
12gteLLmj2Q, 280.000, 290.000, "/m/015lz1,/m/04rlf,/m/0z9c"
15_EuEnJLmk, 50.000, 60.000, "/m/015lz1,/m/04rlf,/m/07s8j8t"
